"204,142609.6523,2639624,-1.140,2.000,175.138,8190"
"205,142609.7725,2639725,-1.129,2.014,175.214,8190"
"206,142609.8938,2639825,-1.133,1.991,175.265,8190"
"207,142609.9543,2639925,-1.139,1.978,175.297,8190"
"208,142610.0647,2640025,-1.139,1.976,175.224,8190"
"209,142610.1863,2640117,-1.139,1.960,175.139,8190"
"210,142610.2458,2640225,-1.143,1.985,175.114,8190"
"211,142610.3665,2640324,-1.142,1.984,175.130,8190"
"212,142610.4878,2640424,-1.142,2.003,175.136,8190"
"213,142610.5486,2640526,-1.142,2.001,175.041,8190"
"214,142610.6722,2640620,-1.139,1.997,175.116,8190"
"215,142610.7931,2640724,-1.140,1.980,175.036,8190"
"216,142610.8536,2640824,-1.135,1.981,175.019,8190"
"217,142610.9750,2640917,-1.146,1.967,175.038,8190"
"218,142611.0955,2641017,-1.150,1.971,174.964,8190"
"219,142611.2671,2641125,-1.148,1.982,174.865,8190"
"220,142611.2867,2641226,-1.153,1.982,174.831,8190"
"221,142611.3875,2641326,-1.153,1.960,174.732,8190"
"222,142611.4482,2641426,-1.148,1.970,174.639,8190"
"223,142611.5790,2641522,-1.141,1.966,174.573,8190"
"224,142611.6904,2641621,-1.145,1.954,174.527,8190"
"225,142611.7511,2641721,-1.147,1.955,174.452,8190"
"226,142611.8705,2641826,-1.145,1.991,174.445,8190"
"227,142611.9911,2641924,-1.143,1.978,174.437,8190"
"228,142612.0510,2642020,-1.148,1.954,174.372,8190"
"229,142612.1713,2642122,-1.141,1.954,174.279,8190"
"230,142612.2932,2642222,-1.143,1.951,174.233,8190"
"231,142612.3540,2642321,-1.136,1.972,174.204,8190"
"232,142612.4743,2642420,-1.140,1.979,174.214,8190"
"233,142612.5866,2642520,-1.142,1.978,174.230,8190"
"234,142612.6471,2642622,-1.147,1.998,174.256,8190"
"235,142612.7672,2642724,-1.150,2.017,174.302,8190"
"236,142612.8884,2642824,-1.150,2.031,174.414,8190"
"237,142612.9485,2642924,-1.146,2.050,174.541,8190"
"238,142613.0688,2643020,-1.143,2.074,174.688,8190"
"239,142613.1902,2643120,-1.152,2.026,174.827,8190"
"240,142613.3108,2643229,-1.145,2.026,174.918,8190"
"241,142613.3712,2643324,-1.143,2.053,175.003,8190"
"242,142613.5523,2643425,-1.149,2.035,175.125,8190"
"243,142613.6740,2643624,-1.149,2.011,175.225,0"
"244,142613.7956,2643725,-1.152,1.976,175.200,8190"
"245,142613.8458,2643820,-1.160,1.969,175.119,8190"
"246,142613.9675,2643922,-1.159,1.956,175.020,8190"
"247,142614.0895,2644021,-1.166,1.956,174.914,8190"
"248,142614.1489,2644120,-1.162,1.974,174.795,8190"
"249,142614.2694,2644218,-1.161,1.961,174.675,8190"
"250,142614.3906,2644317,-1.161,1.971,174.603,8190"
"251,142614.4522,2644426,-1.156,1.984,174.510,8190"
"252,142614.5735,2644518,-1.146,1.991,174.566,8190"
"253,142614.6933,2644626,-1.145,1.968,174.492,8190"
"254,142614.7547,2644722,-1.143,1.962,174.435,8190"
"255,142614.8755,2644821,-1.138,1.993,174.435,8190"
"256,142614.9857,2644922,-1.139,1.989,174.447,8190"
"257,142615.1074,2645023,-1.147,1.963,174.415,8190"
"258,142615.1693,2645125,-1.149,2.011,174.422,8190"
"259,142615.2911,2645224,-1.155,2.032,174.476,8190"
"260,142615.4650,2645320,-1.161,2.025,174.524,8190"
"261,142615.4842,2645426,-1.156,2.020,174.571,8190"
"262,142615.5935,2645518,-1.152,2.008,174.569,8190"
"263,142615.6555,2645618,-1.153,2.039,174.661,8190"
"264,142615.7667,2645720,-1.155,2.053,174.741,8190"
"265,142615.8895,2645819,-1.159,2.047,174.856,8190"
"266,142615.9505,2645922,-1.158,2.002,174.883,8190"
"267,142616.0755,2646025,-1.161,1.998,174.834,8190"
"268,142616.2557,2646120,-1.153,1.999,174.836,8190"
"269,142616.4266,2646317,-1.158,1.981,174.792,8190"
"270,142616.4876,2646425,-1.161,1.994,174.807,8190"
"271,142616.5476,2646520,-1.161,1.976,174.771,8190"
"272,142616.6691,2646620,-1.156,1.998,174.759,8190"
"273,142616.7907,2646717,-1.161,1.989,174.736,8190"
"274,142616.8503,2646825,-1.158,2.001,174.755,8190"
"275,142616.9735,2646920,-1.159,2.003,174.777,8190"
"276,142617.0934,2647021,-1.160,2.007,174.804,8190"
"277,142617.1560,2647120,-1.164,2.004,174.838,8190"
